id,CEP,lat_new,lon_new,fonte
0,25251560,-22.6683716,-43.276997,awesomeapi
1,26520332,-22.8120379,-43.4247198,awesomeapi
2,25215255,-22.6832196,-43.2792806,awesomeapi
3,22713560,-22.9376308,-43.3929066,awesomeapi
4,26383060,-22.7053605,-43.5555703,awesomeapi
5,20231030,-22.9120986,-43.1887459,awesomeapi
6,23065020,-22.8719683,-43.6303609,awesomeapi
7,25901094,-22.6537941,-43.040854,awesomeapi
8,26587791,-22.8009441,-43.4331416,awesomeapi
9,22730001,-22.9185464,-43.3653582,awesomeapi
10,21941970,-22.8134098,-43.2494233,awesomeapi
11,21941480,-22.8126375,-43.2273617,awesomeapi
12,20750090,-22.8776,-43.29637,awesomeapi
13,26041271,-22.6903438,-43.4699282,awesomeapi
14,22770103,-22.9335194,-43.357632,awesomeapi
15,25050290,-22.7519457,-43.3018866,awesomeapi
16,26220099,-22.7580779,-43.43834,awesomeapi
17,20751003,-22.8843321,-43.2909557,awesomeapi
18,20740000,-22.893468,-43.3201726,awesomeapi
19,25215365,-22.6789717,-43.2791143,awesomeapi
20,26291236,-22.7655094,-43.5295697,awesomeapi
21,23065620,-22.8894719,-43.6352619,awesomeapi
22,20250450,-22.9170536,-43.2095783,awesomeapi
23,21512360,-22.8389771,-43.361185,awesomeapi
24,26125400,-22.7376061,-43.4074415,awesomeapi
25,21532290,-22.8044904,-43.3568444,awesomeapi
26,21050001,-22.8753999,-43.257294,awesomeapi
27,21610480,-22.8638469,-43.3729788,awesomeapi
28,25510430,-22.7932775,-43.3698171,awesomeapi
29,22270001,-22.953328,-43.1898062,awesomeapi
30,21340190,-22.8733749,-43.3575234,awesomeapi
31,21360000,-22.8644676,-43.3432041,awesomeapi
32,25565370,-22.7905922,-43.3633813,awesomeapi
33,26070269,-22.7050411,-43.4202454,awesomeapi
34,20775181,-22.8881947,-43.27548,awesomeapi
35,21650000,-22.81588,-43.3889,awesomeapi
36,26277350,-22.747387,-43.4895444,awesomeapi
37,22620172,-23.0126425,-43.3895989,awesomeapi
38,25550571,-22.7787977,-43.3869443,awesomeapi
39,26298000,-22.8256192,-43.6029963,awesomeapi
40,26010390,-22.7517486,-43.42418,awesomeapi
